Calculation, China, Korea,	Viet Nam, Philippines, Brazil, Nepal, Indonesia, U.S.A,	Thailand
total, 767797, 436167, 432934, 276615, 204879, 97109, 59820, 54162, 50324 
proportion, 27.8, 15.8, 15.7, 10.0, 7.4, 3.5, 2.2, 2.0, 1.8 


