Year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021																					
Inflows, 345779,351187,343811,373918,371983,372329,325621,336646,344509,297092,287071,266867,303926,306742,336525,391160,427585,474996,519683,591961,220612,79955
Outflows, 210933,232791,248435,259402,278461,291970,218810,214886,234160,261953,242634,230873,219373,213364,212938,223542,233508,259216,292059,333576,173033,139986	

